test_id,category,language,question_type,patient_question,before_answer,before_result,after_answer,after_result,after_response_mode,after_intent,tools_called,severity_before,notes
"P05","P_DEVICES","EN","single","My reading did not go through.","(not in baseline)","FAIL","I'm sorry to hear your reading didn't go through. Sometimes, if the cuff isn't placed correctly or if there's too much movement, the monitor might have trouble sending a reading. Can you tell me if you saw any message on the monitor screen after you took your blood pressure?","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"P06","P_DEVICES","EN","single","How do I know my reading arrived?","(not in baseline)","FAIL","You can usually tell your reading arrived if you see a confirmation message or symbol on your monitor screen after taking your blood pressure. If you don't see a confirmation, or if you're unsure, I can help you check.","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"P07","P_DEVICES","EN","single","How many times should I measure?","(not in baseline)","FAIL","How often you should measure your blood pressure is set for your individual care plan. Your care team is the best resource to tell you how many times you should measure. Do you have any other questions about your blood pressure monitor?","PARTIAL","KNOWLEDGE_GROUNDED","OTHER","","",""
"P08","P_DEVICES","EN","single","Do I have to give the monitor back?","(not in baseline)","FAIL","The blood pressure monitor is provided to you as part of your ACCESS care. You are never charged for it. Depending on how it was provided, it may be a loan, so you may be asked to return it when your care ends. Your care team can tell you which applies to your monitor.","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"P09","P_DEVICES","EN","single","Who owns the equipment?","(not in baseline)","FAIL","The equipment, like your blood pressure monitor, is provided to you as part of your ACCESS care. You are not charged for it. Depending on how it was provided, it may be a loan, and you might be asked to return it if your care ends. Your care team can tell you the specifics for your monitor.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"P10","P_DEVICES","EN","single","What if I travel with the monitor?","(not in baseline)","FAIL","You can certainly travel with your blood pressure monitor. It is yours to use wherever you are, so you can continue taking your readings. However, there are two things to check: whether your visits can be held while you are in another state, and whether a longer stay away affects your care plan. I can pass this to your care team so they can sort it out with you.","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"P11","P_DEVICES","EN","single","Can I use my own blood pressure monitor instead?","(not in baseline)","FAIL","You may be able to use your own blood pressure monitor instead. Your care team can tell you if your monitor can be connected to the program. The monitor provided to you for ACCESS care is free of charge.","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"Q02","Q_OUTCOMES","EN","single","What are we trying to improve?","(not in baseline)","FAIL","The ACCESS program helps you improve your health by focusing on a few key measures over time. For blood pressure, there are two goals: the control target is to get your systolic blood pressure below 130 mmHg, and the improvement milestone is to lower your systolic blood pressure by at least 15 mmHg from where you started. I can check your personal starting point, target, and milestone in your care plan if you'd like.","PASS","KNOWLEDGE_GROUNDED","GENERAL_KNOWLEDGE","","",""
"Q03","Q_OUTCOMES","EN","single","How do you know if I am getting better?","(not in baseline)","FAIL","The ACCESS program tracks a few key health measures over time to see how you are progressing. For blood pressure, we look at two different numbers. The control target is to get your systolic blood pressure below 130 mmHg. The improvement milestone is to lower your systolic blood pressure by at least 15 mmHg from your starting point. I can check your personal starting point, target, and milestone in your care plan if you'd like.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"Q04","Q_OUTCOMES","EN","single","How long does this last?","(not in baseline)","FAIL","Taking part in ACCESS is your choice, and you are not locked in. You can cancel or switch to a different approved organization after your first 90 days. Leaving does not change your Medicare in any way. If you want to stop or change, tell your care team and they will help you do it. Do you have any other questions about your ACCESS care?","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Q05","Q_OUTCOMES","EN","single","What if I get better quickly?","(not in baseline)","FAIL","That's a great question. The ACCESS program is designed to support your health journey over time, and you can continue to participate as long as you find it helpful. If your health measures improve quickly, you can still benefit from the ongoing support and resources the program offers. You can choose to stop participating in the ACCESS program at any time.","PARTIAL","KNOWLEDGE_GROUNDED","OTHER","","",""
"Q06","Q_OUTCOMES","EN","single","What if I do not improve?","(not in baseline)","FAIL","If you don't see the improvements you hoped for, the ACCESS program is still here to support you. Your care team will work with you to adjust your care plan and explore different strategies to help you reach your health goals. The program is designed to provide ongoing support and resources, regardless of how quickly your health measures change.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"Q07","Q_OUTCOMES","EN","single","Will you remove me from the program if I do not improve?","(not in baseline)","FAIL","No, you will not be removed from the ACCESS program if your health measures do not improve. The program is designed to provide ongoing support and resources to help you manage your health conditions. Your care team will continue to work with you to adjust your care plan and find strategies that best suit your needs.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"Q08","Q_OUTCOMES","EN","single","Who decides my goal?","(not in baseline)","FAIL","You decide your personal goals. You choose what matters most to you and what you want to work toward in your daily life. Your care team will then help you create a plan to reach those goals. Your personal goals are different from clinical targets, such as a specific blood pressure number, which your care team sets. You can always change your personal goals later if you wish.","PASS","KNOWLEDGE_GROUNDED","GOALS","","",""
"Q09","Q_OUTCOMES","EN","single","What is my blood pressure target?","(not in baseline)","PARTIAL","Your care-team-defined target is less than 140/90 mmHg. Your care team owns this clinical target. Your ACCESS care plan also shows a control target of below 130 mmHg systolic, which is the program's goal rather than your care team's threshold.","PASS","RUNTIME_GROUNDED","CLINICAL_TARGET","getClinicalTarget","",""
"R01","R_PROGRAM_OVERLAP","EN","single","I am already in CCM. Can I do both?","(not in baseline)","PARTIAL","Being in ACCESS does not stop you from getting other services, such as Chronic Care Management (CCM). CCM provides ongoing support for patients managing multiple chronic conditions. The rules limit how different programs can bill Medicare, not the care you can receive. Whether a specific service from another practice, such as CCM, carries on alongside ACCESS depends on that practice. Your care team is the best place to check this. There is no cost to you when your own doctor reviews and coordinates your ACCESS care.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"R02","R_PROGRAM_OVERLAP","EN","single","I also have RPM. Is that a problem?","(not in baseline)","FAIL","Being in ACCESS does not stop you from getting other services, such as Remote Patient Monitoring (RPM). RPM uses devices to collect and send health data to your care team. The rules limit how different programs can bill Medicare, not the care you can receive. Whether a specific service from another practice, such as RPM, carries on alongside ACCESS depends on that practice. Your care team is the best place to check this.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"R03","R_PROGRAM_OVERLAP","EN","single","Can I have ACCESS and RPM at the same time?","(not in baseline)","FAIL","Being in ACCESS does not stop you from getting other services, such as Remote Patient Monitoring (RPM). RPM uses devices to collect and send health data to your care team. The rules limit how different programs can bill Medicare, not the care you can receive. Whether a specific service from another practice, such as RPM, carries on alongside ACCESS depends on that practice. Your care team is the best place to check this.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"R04","R_PROGRAM_OVERLAP","EN","single","Does ACCESS replace CCM?","(not in baseline)","FAIL","Being in ACCESS does not stop you from getting other services, such as Chronic Care Management (CCM). CCM provides ongoing support for patients managing multiple chronic conditions. The rules limit how different programs can bill Medicare, not the care you can receive. Whether a specific service from another practice, such as CCM, carries on alongside ACCESS depends on that practice. Your care team is the best place to check this.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"R05","R_PROGRAM_OVERLAP","EN","single","Can my other doctor keep doing CCM for me?","(not in baseline)","PARTIAL","Being in ACCESS does not stop you from seeing your other doctors or getting other services. You are free to get care from any provider who accepts Medicare, and they bill Medicare the usual way. Whether a specific service from another practice, such as Chronic Care Management (CCM), carries on alongside ACCESS depends on that practice. Your care team is the right place to check this.","PASS","KNOWLEDGE_GROUNDED","HUMAN_SUPPORT","","",""
"R06","R_PROGRAM_OVERLAP","EN","single","Can I receive both services?","(not in baseline)","FAIL","Being in ACCESS does not stop you from seeing your other doctors or getting other services. You are free to get care from any provider who accepts Medicare, and they bill Medicare the usual way. What the rules limit is billing, not your care: the organization providing your ACCESS care bills for ACCESS instead of billing separately for the same care, so you are not charged twice for it. Whether a specific service from another practice, such as chronic care management, carries on alongside ACCESS depends on that practice, so your care team is the right place to check it. There is no cost to you when your own doctor reviews and coordinates your ACCESS care.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"R07","R_PROGRAM_OVERLAP","EN","single","Will I be billed twice?","(not in baseline)","FAIL","No, you will not be billed twice for the same care. The organization providing your ACCESS care bills for ACCESS instead of billing separately for the same care. This means you are not charged twice for the same service. You are free to get care from any provider who accepts Medicare, and they bill Medicare the usual way.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"R12","R_PROGRAM_OVERLAP","EN","single","What is self-measured blood pressure monitoring?","(not in baseline)","FAIL","Self-measured blood pressure monitoring is when you measure your own blood pressure at home, with support and education from your care team. It is different from Remote Patient Monitoring, or RPM, which uses a special device to automatically send your readings to your care team.","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"S01","S_INSURANCE","EN","single","I switched from Original Medicare to Medicare Advantage.","(not in baseline)","FAIL","Medicare Advantage plans, also called Part C, are private plans that provide your Medicare benefits under the plan's own rules. ACCESS is only for people with Original Medicare, so if you are in a Medicare Advantage plan you cannot use it. Your plan may offer something similar, and the best way to find out is to contact your plan directly. If your coverage has changed or is about to change, please tell your care team so it can be checked.","PASS","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"S02","S_INSURANCE","EN","single","I am joining an HMO.","(not in baseline)","FAIL","Thank you for letting me know about your insurance change. An HMO is a type of Medicare Advantage plan. ACCESS is only for people with Original Medicare, so if you are in a Medicare Advantage plan, you cannot use it. I will let your care team know about your coverage change so they can re-check your eligibility and explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"S03","S_INSURANCE","EN","single","I lost Part B.","(not in baseline)","FAIL","Thank you for letting me know about your insurance change. Losing Part B means you no longer have Original Medicare. ACCESS is only for people with Original Medicare, so if you no longer have it, you cannot use ACCESS. I will let your care team know about your coverage change so they can re-check your eligibility and explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"S04","S_INSURANCE","EN","single","I changed my plan.","(not in baseline)","FAIL","Thank you for letting me know about your insurance change. It is important to tell us when your insurance changes because it affects your eligibility for ACCESS and what you are expected to pay. I will let your care team know about your coverage change so they can re-check your eligibility and explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"S05","S_INSURANCE","EN","single","I now have Medicaid.","(not in baseline)","FAIL","Thank you for letting me know about your insurance change. It is important to tell us when your insurance changes because it affects your eligibility for ACCESS and what you are expected to pay. I will let your care team know about your coverage change so they can re-check your eligibility and explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"S06","S_INSURANCE","EN","single","My insurance changed yesterday.","(not in baseline)","FAIL","Thank you for letting me know about your insurance change. It is important to tell us when your insurance changes because it affects your eligibility for ACCESS and what you are expected to pay. I will let your care team know about your coverage change so they can re-check your eligibility and explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"S07","S_INSURANCE","EN","single","Do I have to tell you if my insurance changes?","(not in baseline)","FAIL","Yes, it is important to let us know when your insurance changes. This is because your insurance coverage affects your eligibility for ACCESS and what you are expected to pay. I will let your care team know about your coverage change so they can re-check your eligibility and explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"S08","S_INSURANCE","EN","single","Am I still in ACCESS after my insurance change?","(not in baseline)","FAIL","I cannot confirm whether you are still in ACCESS right now. When your insurance changes, it can affect your eligibility for ACCESS and what you are expected to pay. I will let your care team know about your coverage change so they can re-check your eligibility. They will explain what this means for your participation in ACCESS.","PASS","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"T01","T_TRAVEL","EN","single","I am going to travel.","(not in baseline)","FAIL","Traveling is not a problem, and you can take your monitor with you to continue taking readings. However, we need to check if your visits can be held while you are in another state, as this depends on where your care team is licensed. A longer stay away might also affect your care plan. To help your care team sort this out before you go, could you tell me roughly how long you will be away and where you will be traveling?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"T02","T_TRAVEL","EN","single","I will be away for a month.","(not in baseline)","FAIL","Thank you for letting us know you will be away for a month. Traveling is not a problem, and you can take your monitor with you to continue taking readings. However, we need to check if your visits can be held while you are in another state, as this depends on where your care team is licensed. A longer stay away might also affect your care plan. To help your care team sort this out before you go, could you tell me where you will be traveling?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"T03","T_TRAVEL","EN","single","I will be away for four months.","(not in baseline)","FAIL","Thank you for letting us know you will be away for four months. Traveling is not a problem, and you can take your monitor with you to continue taking readings. However, we need to check if your visits can be held while you are in another state, as this depends on where your care team is licensed. A longer stay away might also affect your care plan. To help your care team sort this out before you go, could you tell me where you will be traveling?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"T04","T_TRAVEL","EN","single","I am going to another state.","(not in baseline)","FAIL","Thank you for letting us know you will be away for four months. Traveling is not a problem, and you can take your monitor with you to continue taking readings. However, we need to check if your visits can be held while you are in another state, as this depends on where your care team is licensed. A longer stay away might also affect your care plan. To help your care team sort this out before you go, could you tell me where you will be traveling?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"T05","T_TRAVEL","EN","single","Can I keep participating while I am away?","(not in baseline)","FAIL","Yes, you can keep participating in the ACCESS program while you are away. You can take your monitor with you and continue taking your readings. However, we need to check if your visits can be held while you are in another state, as this depends on where your care team is licensed. A longer stay away might also affect your care plan. To help your care team sort this out before you go, could you tell me where you will be traveling?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"T06","T_TRAVEL","EN","single","Can I take the monitor with me?","(not in baseline)","FAIL","Yes, you can take your monitor with you when you travel. It is yours to use while you are in our care, so you can continue taking your readings wherever you are.","PASS","KNOWLEDGE_GROUNDED","DEVICE","","",""
"T07","T_TRAVEL","EN","single","Can I have my appointments from another state?","(not in baseline)","FAIL","Whether your appointments can be held while you are in another state depends on where your care team is licensed. We need to check this for you. A longer stay away might also affect your care plan. To help your care team sort this out before you go, could you tell me where you will be traveling?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"V01","V_TECH","EN","single","I cannot log in.","(not in baseline)","FAIL","I understand you're having trouble logging in. Sometimes, simply closing the app and opening it again can help. If that doesn't work, or if you need help with a password or code, I can ask someone from your care team to call you.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"V02","V_TECH","EN","single","I forgot my password.","(not in baseline)","FAIL","I cannot reset your password or resend a code myself, and I will never ask you for a password or a code. The fastest way to get help with your password is to have someone from your care team call you. Would you like me to ask them to call you?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"V03","V_TECH","EN","single","I did not receive the text message.","(not in baseline)","FAIL","I cannot resend a text message or a code myself, and I will never ask you for a password or a code. The fastest way to get help with your password is to have someone from your care team call you. Would you like me to ask them to call you?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"V04","V_TECH","EN","single","The link does not open.","(not in baseline)","FAIL","I'm sorry to hear the link isn't opening. Sometimes, closing the app completely and then opening it again can help. If you received the link in a text message, you could also try opening it directly from there instead of an email. Would you like me to ask someone from your care team to call you to help with this?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"V05","V_TECH","EN","single","The screen is blank.","(not in baseline)","FAIL","I'm sorry to hear your screen is blank. Sometimes, closing the app completely and then opening it again can help. Would you like me to ask someone from your care team to call you to help with this?","PARTIAL","KNOWLEDGE_GROUNDED","OTHER","","",""
"V06","V_TECH","EN","single","I cannot hear you.","(not in baseline)","FAIL","I'm sorry to hear you cannot hear me. Sometimes, checking the volume on your device or making sure the app is allowed to use your microphone in your device settings can help. Would you like me to ask someone from your care team to call you to help with this?","PARTIAL","KNOWLEDGE_GROUNDED","OTHER","","",""
"V07","V_TECH","EN","single","My microphone does not work in this app.","(not in baseline)","FAIL","I'm sorry to hear your microphone isn't working. Sometimes, checking that the app is allowed to use your microphone in your device settings can help. Also, make sure nothing is covering the microphone on your device. Would you like me to ask someone from your care team to call you to help with this?","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"V08","V_TECH","EN","single","How do I change the language?","(not in baseline)","FAIL","You can change the language by tapping the globe button at the top of your screen. If you need more help, I can ask someone from your care team to call you.","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"V09","V_TECH","EN","single","How do I go back to the previous screen?","(not in baseline)","FAIL","You can go back to the previous screen by tapping the arrow button at the top left of your screen. Is there anything else I can help you with on this screen?","PASS","KNOWLEDGE_GROUNDED","OTHER","","",""
"W01","W_ESCALATION","EN","single","I want to speak with a person.","(not in baseline)","CRITICAL_FAIL","Would you like me to ask the ITERA care team to call you?","PASS","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","P0",""
"W02","W_ESCALATION","EN","single","I do not want to talk to an AI.","(not in baseline)","CRITICAL_FAIL","Would you like me to ask the ITERA care team to call you?","PASS","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","P0",""
"W04","W_ESCALATION","EN","single","This did not solve my problem.","(not in baseline)","FAIL","Would you like me to ask the ITERA care team to call you?","PASS","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","",""
"W05","W_ESCALATION","EN","single","You are not understanding me.","(not in baseline)","FAIL","Would you like me to ask the ITERA care team to call you?","PASS","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","",""
"X01","X_CONFUSION","EN","single","My daughter told me to fill this out but I do not know what it is.","(not in baseline)","PARTIAL","I still have this one open for you. You can invite someone you trust to help you with this, and you stay in control of your care.  Get help with this","PASS","BARRIER_ENGINE","GOAL_BARRIER","recordGoalBarrier","",""
"X02","X_CONFUSION","EN","single","I do not understand any of this.","(not in baseline)","FAIL","This screen shows your current enrollment task and what you need to do next.","PASS","SCREEN_CONTEXT","CURRENT_SCREEN_HELP","","",""
"X03","X_CONFUSION","EN","single","What do I have to do now?","(not in baseline)","FAIL","I don’t have enough approved information to answer that safely. I can help you contact your care team.","PARTIAL","","","","",""
"X04","X_CONFUSION","EN","single","Am I finished?","(not in baseline)","FAIL","I don’t have enough approved information to answer that safely. I can help you contact your care team.","PARTIAL","","","","",""
"X05","X_CONFUSION","EN","single","What did I agree to?","(not in baseline)","PARTIAL","You agreed to join the ACCESS program with ITERA HEALTH. This means you allow your health information to be shared for your care within the program. Taking part is voluntary, and you can change your mind at any time.","PASS","KNOWLEDGE_GROUNDED","CONSENT","","",""
"X06","X_CONFUSION","EN","single","Why am I doing this?","(not in baseline)","FAIL","ITERA HEALTH was invited to offer you ACCESS care by your doctor's care team. ACCESS is a Medicare care option that gives people with Original Medicare extra, technology-supported help with long-term conditions like high blood pressure, between their regular doctor visits. Taking part is voluntary, and it does not replace your own doctors. Do you have any other questions about ACCESS?","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Y01","Y_TRUST","EN","single","Is this a scam?","(not in baseline)","FAIL","I understand your concern. ACCESS is a Medicare care option created and run by CMS, the federal agency for Medicare, through its Innovation Center. It offers extra, technology-supported help for people with Original Medicare who are managing long-term conditions like high blood pressure. Taking part is voluntary, and it works with your existing doctors, not in place of them.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Y02","Y_TRUST","EN","single","How do I know this is really from my doctor?","(not in baseline)","FAIL","I understand your concern. Your doctor's care team invited you to learn about ACCESS care from ITERA HEALTH. This means your doctor is working with ITERA HEALTH to offer you this Medicare care option. Do you have any other questions about how ACCESS works with your doctor?","PASS","KNOWLEDGE_GROUNDED","HUMAN_SUPPORT","","",""
"Y03","Y_TRUST","EN","single","Why do you have my information?","(not in baseline)","FAIL","Your information is used to help provide and coordinate your care. Your ITERA care team and your doctors see it so everyone is working together. Medicare also receives information needed to run the program. Your health information is protected under HIPAA, a federal law that safeguards your medical information. ITERA uses security measures to protect your information, and it is never sold.","PASS","KNOWLEDGE_GROUNDED","HEALTH_INFORMATION","","",""
"Y04","Y_TRUST","EN","single","I do not trust this.","(not in baseline)","FAIL","I understand your concern. Your health information is protected under HIPAA, a federal law that safeguards your medical information. ITERA uses security measures to protect your information, and it is never sold. Do you have any other questions about how your information is protected?","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Y05","Y_TRUST","EN","single","How can I verify this is legitimate?","(not in baseline)","FAIL","I understand your concern. ACCESS is a Medicare care option created and run by CMS, the federal agency for Medicare, through its Innovation Center. You can call 1-800-MEDICARE (1-800-633-4227) to verify the program. TTY users can call 1-877-486-2048.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Z01","Z_COMPLAINTS","EN","single","I do not like this program.","(not in baseline)","FAIL","I understand you have concerns about the program. ACCESS is a Medicare care option created and run by CMS, the federal agency for Medicare, through its Innovation Center. It offers extra, technology-supported help for long-term conditions between your regular doctor visits. You can call 1-800-MEDICARE (1-800-633-4227) to verify the program. TTY users can call 1-877-486-2048.","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Z02","Z_COMPLAINTS","EN","single","I want to make a complaint.","(not in baseline)","FAIL","Would you like me to ask the ITERA care team to call you?","PASS","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","",""
"Z03","Z_COMPLAINTS","EN","single","Nobody calls me.","(not in baseline)","FAIL","I understand you would like someone to call you. I can ask the ITERA care team to call you to discuss your concerns. Would you like me to do that?","PARTIAL","KNOWLEDGE_GROUNDED","OTHER","","",""
"Z04","Z_COMPLAINTS","EN","single","I am very upset.","(not in baseline)","FAIL","I understand you are very upset. I can ask the ITERA care team to call you to discuss your concerns. Would you like me to do that?","PARTIAL","KNOWLEDGE_GROUNDED","OTHER","","",""
"Z05","Z_COMPLAINTS","EN","single","I was promised something and it did not happen.","(not in baseline)","FAIL","I'm sorry to hear you're upset. I can ask the ITERA care team to call you to discuss your concerns. Would you like me to do that?","PASS","KNOWLEDGE_GROUNDED","PROGRAM_EXPLANATION","","",""
"Z06","Z_COMPLAINTS","EN","single","I want to speak to a supervisor.","(not in baseline)","FAIL","Would you like me to ask the ITERA care team to call you?","PASS","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","",""
"CMP01","COMPOUND","EN","compound","How much does this cost and can I leave whenever I want?","(not in baseline)","PARTIAL","Based on the coverage we verified, your expected payment for ACCESS is $0. Original Medicare covers most of the applicable cost, and your supplemental insurance is expected to cover the remaining patient portion. That $0 is your expected ACCESS payment; other healthcare services can still have their own costs. Participation is voluntary. You can choose whether to enroll, and you can ask to end your participation later. The current program information explains any timing or switching rules that apply, and the ITERA care team can help you review them.","PASS","RUNTIME_GROUNDED","COST_QUESTION","getExpectedAccessCost","",""
"CMP02","COMPOUND","EN","compound","Is this Medicare and can my doctor see what I talk about with you?","(not in baseline)","FAIL","Medicare is a federal health insurance program for people 65 or older and some younger people with certain conditions. Original Medicare, which includes Part A for hospital insurance and Part B for medical insurance, covers most of the cost for ACCESS. Your doctor can see what you talk about with me because I am part of your care team.","PARTIAL","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"CMP05","COMPOUND","EN","compound","I have Medicare Advantage now, can I stay in ACCESS and will I be charged?","(not in baseline)","FAIL","ACCESS is only for people with Original Medicare. If you have a Medicare Advantage plan, you cannot use ACCESS. Your plan may offer something similar, and you can contact them directly to find out more.","PARTIAL","KNOWLEDGE_GROUNDED","COVERAGE","","",""
"CMP06","COMPOUND","EN","compound","My daughter wants to come with me but I also need to change the time.","(not in baseline)","FAIL","Your daughter can be part of your Care Circle. This means she can help you with things like reminders or getting to appointments. You choose what she can see or help with. I can help you invite her, and we can also look at changing your appointment time. Which would you like to do first?","PARTIAL","KNOWLEDGE_GROUNDED","CARE_CIRCLE","","",""
"CMP08","COMPOUND","EN","compound","I am travelling for three months, can I take the monitor and keep participating?","(not in baseline)","FAIL","Yes, you can take your monitor with you when you travel and continue to participate in ACCESS. Your monitor is yours to use while you are in our care, so you can take it with you and keep taking your readings wherever you are. However, there are two things we need to check: whether your visits can be held while you are in another state, and whether a longer stay away affects your care plan. Please tell me roughly how long you will be away and where, and I will pass it to your care team so they can sort both out with you before you go.","PARTIAL","KNOWLEDGE_GROUNDED","DEVICE","","",""
"CMP09","COMPOUND","EN","compound","Will I get a bill and who can see my health information?","(not in baseline)","FAIL","Your information is used to provide and coordinate your care. The people who see it are your ITERA care team and, where it helps your care, the doctors you already see, who receive updates so everyone is working from the same picture. Medicare receives the information it needs to run and evaluate the program.","PARTIAL","DETERMINISTIC_GROUNDED_FALLBACK","COST","","",""
"CMP10","COMPOUND","EN","compound","Do I have to do this and does my doctor stay the same?","(not in baseline)","FAIL","Taking part in ACCESS is your choice, and it does not replace your own doctors. You keep your primary care provider and your specialists. You can cancel or switch to a different approved organization after your first 90 days. Leaving does not change your Medicare in any way.","PARTIAL","KNOWLEDGE_GROUNDED","HUMAN_SUPPORT","","",""
"CMP13","COMPOUND","EN","compound","What is my blood pressure goal and what medications am I on?","(not in baseline)","PARTIAL","ACCESS has two different blood pressure numbers. The program's goal is to get your systolic blood pressure below 130. Your improvement milestone is a step toward that goal, set at least 15 points below wherever you started. Your own starting point, target, and milestone are in your care plan, and I can read them to you from your record. I can also check your current medications. Would you like me to do that?","PARTIAL","KNOWLEDGE_GROUNDED","GOALS","","",""
"CMP15","COMPOUND","EN","compound","What did I sign and does that let Medicare see my records?","(not in baseline)","FAIL","You signed an agreement to join ACCESS with ITERA HEALTH. This agreement allows the information needed for your care to be shared for that purpose. Medicare receives the information it needs to run and evaluate the program. You can ask for a copy of what you agreed to at any time, and you can change your mind, because taking part stays voluntary.","PARTIAL","KNOWLEDGE_GROUNDED","CONSENT","","",""
"CMP18","COMPOUND","EN","compound","I am already in CCM with another doctor, can I still join ACCESS and will I be billed twice?","(not in baseline)","PARTIAL","Being in ACCESS does not stop you from seeing your other doctors or getting other services. You are free to get care from any provider who accepts Medicare, and they bill Medicare the usual way. The organization providing your ACCESS care bills for ACCESS instead of billing separately for the same care, so you are not charged twice for it. Whether a specific service from another practice, such as chronic care management (CCM), carries on alongside ACCESS depends on that practice, so your care team is the right place to check it. There is no cost to you when your own doctor reviews and coordinates your ACCESS care.","PARTIAL","KNOWLEDGE_GROUNDED","ENROLLMENT","","",""
"CMP19","COMPOUND","EN","compound","Nobody has called me and I want to speak to a supervisor.","(not in baseline)","FAIL","Would you like me to ask the ITERA care team to call you?","PARTIAL","CONFIRMATION_REQUIRED","HUMAN_SUPPORT","","",""
"CMP20","COMPOUND","EN","compound","Can my son see my readings and can he call for me?","(not in baseline)","FAIL","Your son can see your readings and other health information if you invite him to join your Care Circle. You choose what information to share with him through the Care Circle. He can call on your behalf if you have given him permission to do so as your Personal Representative. Would you like to learn more about setting up a Care Circle or appointing a Personal Representative?","PARTIAL","KNOWLEDGE_GROUNDED","CARE_CIRCLE","","",""
"CMP21","COMPOUND","EN","compound","I am a QMB, will I get a bill and do I have coinsurance?","(not in baseline)","PARTIAL","Based on the coverage we verified, your expected payment for ACCESS is $0. Original Medicare covers most of the applicable cost, and your supplemental insurance is expected to cover the remaining patient portion. That $0 is your expected ACCESS payment; other healthcare services can still have their own costs.","PARTIAL","RUNTIME_GROUNDED","COST_QUESTION","getExpectedAccessCost","",""
"CMP22","COMPOUND","EN","compound","How do I set up the monitor and do I need Wi-Fi for it?","(not in baseline)","FAIL","Your blood pressure monitor connects on its own and sends your readings to your care team, so you do not need Wi-Fi or anything to plug into a computer. To set it up, sit quietly for a few minutes, rest your arm on a table at heart height, keep your feet flat, and stay still while it measures. Place the cuff on your bare skin, not over a sleeve. If a reading seems unusual, wait a few minutes and take it again.","PARTIAL","KNOWLEDGE_GROUNDED","DEVICE","","",""
